HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,ForecastDate,yhat,yhat_lower,yhat_upper
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,Inpatient/Day case,2026-09-01,38.04,21.25,54.95
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,New Outpatient,2026-04-01,43.08,19.93,65.53
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,New Outpatient,2026-05-01,44.22,22.95,67.82
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,New Outpatient,2026-06-01,45.7,24.16,69.42
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,New Outpatient,2026-07-01,46.44,24.57,68.5
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,New Outpatient,2026-08-01,46.17,23.62,68.33
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,New Outpatient,2026-09-01,47.16,24.6,68.83
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),Inpatient/Day case,2026-04-01,70.0,54.51,87.03
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),Inpatient/Day case,2026-05-01,73.81,57.27,89.07
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),Inpatient/Day case,2026-06-01,76.65,60.33,92.37
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),Inpatient/Day case,2026-07-01,78.04,63.25,93.82
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),Inpatient/Day case,2026-08-01,75.03,58.44,91.05
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),Inpatient/Day case,2026-09-01,75.04,58.56,91.0
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),New Outpatient,2026-04-01,81.93,56.11,100.0
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),New Outpatient,2026-05-01,86.32,58.54,100.0
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),New Outpatient,2026-06-01,89.75,64.3,100.0
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),New Outpatient,2026-07-01,90.9,63.4,100.0
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),New Outpatient,2026-08-01,89.97,64.2,100.0
S08000015,NHS Ayrshire & Arran,C13,Specialty (C13),New Outpatient,2026-09-01,90.24,63.55,100.0
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,Inpatient/Day case,2026-03-01,0.0,0.0,0.0
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,Inpatient/Day case,2026-04-01,18.91,6.2,32.15
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,Inpatient/Day case,2026-05-01,15.06,1.56,29.08
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,Inpatient/Day case,2026-06-01,11.18,0.0,24.35
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,Inpatient/Day case,2026-07-01,16.01,2.98,29.12
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,Inpatient/Day case,2026-08-01,9.27,0.0,22.6
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,New Outpatient,2026-04-01,52.25,21.46,83.43
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,New Outpatient,2026-05-01,51.75,20.94,82.23
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,New Outpatient,2026-06-01,52.94,23.45,82.45
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,New Outpatient,2026-07-01,52.26,22.57,83.4
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,New Outpatient,2026-08-01,51.2,18.92,80.8
S08000015,NHS Ayrshire & Arran,C3,Plastic Surgery,New Outpatient,2026-09-01,51.92,22.32,81.59
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,Inpatient/Day case,2026-04-01,90.14,71.13,100.0
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,Inpatient/Day case,2026-05-01,94.77,75.82,100.0
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,Inpatient/Day case,2026-06-01,97.83,78.23,100.0
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,Inpatient/Day case,2026-07-01,98.15,78.4,100.0
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,Inpatient/Day case,2026-08-01,97.94,77.89,100.0
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,Inpatient/Day case,2026-09-01,97.44,77.35,100.0
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,New Outpatient,2026-04-01,65.52,52.42,79.98
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,New Outpatient,2026-05-01,68.7,55.5,81.7
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,New Outpatient,2026-06-01,73.12,58.89,86.97
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,New Outpatient,2026-07-01,75.08,61.25,88.2
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,New Outpatient,2026-08-01,75.92,62.27,89.37
S08000015,NHS Ayrshire & Arran,C5,Gynaecology,New Outpatient,2026-09-01,77.14,63.69,91.55
S08000015,NHS Ayrshire & Arran,C6,Ophthalmology,New Outpatient,2019-08-01,51.6,28.78,76.34
S08000015,NHS Ayrshire & Arran,C6,Ophthalmology,New Outpatient,2019-09-01,18.54,0.0,44.51
S08000015,NHS Ayrshire & Arran,C6,Ophthalmology,New Outpatient,2019-10-01,70.92,48.12,95.75
S08000015,NHS Ayrshire & Arran,C6,Ophthalmology,New Outpatient,2019-11-01,91.78,66.94,100.0
S08000015,NHS Ayrshire & Arran,C6,Ophthalmology,New Outpatient,2019-12-01,100.0,100.0,100.0
